,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
0,사랑하기 싫어,지아,2023.02.24,발라드,289,"28,217",0,"38,357",32,3.66955,133.722,4,5,1,0.311,0.442,0.692,-3.886,0.0473,0.729,0.0,0.185
1,너를 보는게 지친 하루에,송하예,2023.03.19,발라드,0,"15,463",2,"16,406",30,3.762883333,75.337,4,11,1,0.256,0.437,0.56,-3.325,0.0301,0.365,0.0,0.178
2,사랑인가 봐,멜로망스,2022.02.18,"발라드, 국내드라마",256,"181,361",2,"87,991",24,3.083333333,171.594,4,8,1,0.631,0.402,0.731,-3.529,0.0693,0.508,0.0,0.146
3,너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",453,"257,711",0,"116,656",30,4.0554,139.982,4,10,1,0.244,0.366,0.385,-7.952,0.0336,0.816,0.0,0.0872
4,나비무덤,포맨 (4MEN),2023.03.01,발라드,93,"16,493",2,"42,728",50,4.488883333,68.197,4,4,1,0.189,0.466,0.503,-4.868,0.0367,0.555,0.0,0.13
5,사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마","8,568","192,192",1,"128,987",34,3.931833333,139.332,4,9,1,0.188,0.35,0.252,-10.603,0.0387,0.811,0.0,0.103
6,결국엔 너에게 닿아서,WSG워너비 (가야G),2023.03.17,발라드,190,"12,925",2,"5,458",41,3.456216667,115.936,4,6,1,0.348,0.629,0.734,-1.513,0.031,0.528,0.0,0.103
7,Monologue,테이,2022.09.18,발라드,277,"81,128",0,"11,838",47,4.364883333,78.967,4,1,0,0.375,0.481,0.745,-3.355,0.0449,0.178,0.0,0.321
8,해요 (2022),#안녕,2022.06.07,"발라드, 인디음악",133,"76,828",0,"8,884",35,3.96785,70.004,4,4,1,0.29,0.453,0.522,-5.013,0.0521,0.647,0.0,0.105
9,Say I Love You,우디 (Woody),2022.12.21,발라드,77,"53,266",2,"8,072",49,3.591333333,136.086,4,11,1,0.543,0.668,0.578,-6.523,0.0363,0.808,0.0,0.12
10,취중고백,김민석 (멜로망스),2021.12.19,발라드,407,"162,708",0,"17,626",40,3.799333333,121.797,4,11,1,0.264,0.562,0.454,-6.858,0.0322,0.584,0.0,0.142
11,내가 아니라도,주호,2022.03.25,발라드,198,"96,328",0,"6,528",37,4.12955,133.154,4,11,1,0.228,0.431,0.499,-4.995,0.0365,0.0431,0.0,0.325
12,되돌리다,먼데이 키즈 (Monday Kiz),2023.03.19,발라드,38,"8,288",0,"38,765",34,4.494216667,143.864,4,11,1,0.378,0.432,0.569,-6.453,0.0321,0.557,0.0,0.0823
13,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),2022.07.09,발라드,893,"127,572",1,"5,458",50,3.71555,118.023,4,7,1,0.29,0.575,0.794,-2.673,0.0392,0.213,0.0,0.365
14,다정히 내 이름을 부르면,경서예지,2021.05.19,발라드,328,"167,552",2,"7,229",56,3.85565,143.643,4,7,1,0.236,0.382,0.672,-2.836,0.032,0.351,0.0,0.144
15,우리들의 블루스,임영웅,2022.05.02,발라드,"3,778","90,134",1,"128,987",30,3.45645,130.94,4,1,1,0.273,0.381,0.405,-7.325,0.0325,0.629,0.0,0.418
16,봄 사랑 벚꽃 말고,HIGH4 (하이포),2014.04.08,발라드,417,"219,312",2,"2,128",57,3.254416667,79.988,4,7,1,0.793,0.77,0.484,-6.626,0.0538,0.464,0.0,0.44
17,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,2018.03.20,"발라드, 국내드라마","1,073","418,707",0,"160,524",29,3.508216667,133.25,4,8,1,0.153,0.47,0.288,-9.434,0.0279,0.859,1.78e-05,0.103
18,나의 X에게,경서,2022.04.24,발라드,337,"140,973",2,"15,692",54,3.128883333,94.023,4,3,1,0.515,0.701,0.553,-3.393,0.0287,0.528,0.0,0.147
19,그대를 알고,송하예,2022.12.13,발라드,93,"35,228",1,"16,406",34,4.124733333,130.877,4,5,1,0.131,0.429,0.578,-5.222,0.0442,0.537,0.0,0.0767
20,잘가요,주호,2022.12.04,발라드,156,"35,260",1,"6,528",32,4.226666667,133.785,4,4,1,0.227,0.445,0.507,-4.87,0.0309,0.118,0.0,0.103
21,사랑하지 않아서 그랬어,임한별,2023.04.02,발라드,61,"6,786",2,"18,712",38,3.73045,127.785,4,4,1,0.196,0.376,0.622,-4.398,0.0493,0.448,0.0,0.138
22,그대라는 사치,임창정,2023.03.12,발라드,61,"8,628",0,"90,427",46,4.9472,135.85,4,6,1,0.269,0.563,0.444,-6.179,0.0448,0.512,0.0,0.106
23,다시 만날 수 있을까,임영웅,2022.05.02,발라드,"2,232","72,889",4,"128,987",40,4.573116667,129.74,4,1,1,0.327,0.401,0.394,-6.655,0.0324,0.748,0.0,0.0993
24,발걸음,DK(디셈버),2023.03.30,발라드,43,"4,429",2,"6,225",34,4.151783333,135.984,4,2,1,0.172,0.417,0.636,-7.862,0.0421,0.68,0.0,0.103
25,혼자가 아닌 나,정효빈,2023.03.01,발라드,48,"13,268",1,"7,740",36,3.4188,120.034,4,9,1,0.434,0.773,0.621,-4.808,0.0265,0.239,0.0,0.137
26,너와 함께,김민석 (멜로망스),2023.02.26,"발라드, 인디음악",59,"15,050",0,"17,626",31,4.366666667,125.32,4,3,1,0.215,0.331,0.447,-6.892,0.031,0.772,0.0,0.121
27,우연히 봄,로꼬,2015.04.08,"발라드, 랩/힙합, 국내드라마",742,"162,232",3,"116,152",86,3.35,98.032,4,7,1,0.556,0.788,0.749,-3.959,0.0692,0.636,0.0,0.208
