,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths
0,Kitsch,IVE (아이브),2023.03.27,댄스,"1,797","70,391",2,"70,242",77
1,꽃,지수 (JISOO),2023.03.31,댄스,"1,217","48,477",1,"22,213",29
2,Ditto,NewJeans,2022.12.19,댄스,"3,014","247,035",3,"109,939",71
3,Hype boy,NewJeans,2022.08.01,댄스,"2,000","252,748",7,"109,939",81
4,OMG,NewJeans,2023.01.02,댄스,"1,695","170,524",4,"109,939",90
5,Teddy Bear,STAYC(스테이씨),2023.02.14,댄스,"1,603","72,346",3,"48,133",64
6,Like Crazy,지민,2023.03.24,댄스,"2,123","49,358",2,"142,945",55
7,사건의 지평선,윤하 (YOUNHA),2022.03.30,록/메탈,"3,127","293,700",3,"118,488",67
8,사람 Pt.2 (feat. 아이유),Agust D,2023.04.07,R&B/Soul,633,"32,206",1,"125,702",70
9,I Don't Think That I Like Her,Charlie Puth,2022.10.07,POP,359,"146,836",0,"172,771",67
10,Love Me Like This,NMIXX,2023.03.20,댄스,"1,121","28,195",5,"20,445",77
11,CHRISTIAN,Zior Park,2023.02.16,록/메탈,383,"51,187",0,"15,084",82
12,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),2023.02.06,댄스,"4,221","126,990",4,"54,840",71
13,심(心),DK(디셈버),2023.02.19,록/메탈,398,"31,790",0,"6,221",26
14,Nostalgia,우디 (Woody),2023.03.06,일렉트로니카,236,"31,792",0,"8,057",56
15,사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마","8,566","192,140",1,"128,980",34
16,Zero,NewJeans,2023.04.03,댄스,738,"30,569",0,"109,939",76
17,밤이 무서워요 (Lonely Night),주주 시크릿,2023.03.25,댄스,171,"20,844",0,"1,868",33
18,Attention,NewJeans,2022.08.01,댄스,"2,543","218,680",2,"109,939",78
19,After LIKE,IVE (아이브),2022.08.22,댄스,"3,559","222,753",2,"70,243",65
20,ANTIFRAGILE,LE SSERAFIM (르세라핌),2022.10.17,댄스,"1,956","155,089",3,"47,835",85
21,우리들의 블루스,임영웅,2022.05.02,발라드,"3,777","90,092",1,"128,980",30
22,사랑하기 싫어,지아,2023.02.24,발라드,289,"28,069",0,"38,362",32
23,LOVE DIVE,IVE (아이브),2022.04.05,댄스,"2,728","230,706",2,"70,243",50
24,너를 보는게 지친 하루에,송하예,2023.03.19,발라드,55,"15,153",2,"16,404",30
25,Set Me Free Pt.2,지민,2023.03.17,랩/힙합,"1,556","47,861",2,"142,945",59
26,다시 만날 수 있을까,임영웅,2022.05.02,발라드,"2,231","72,870",4,"128,980",40
27,NIGHT DANCER,imase,2022.08.19,J-POP,169,"63,400",0,"3,044",174
28,Candy,NCT DREAM,2022.12.16,댄스,"7,233","144,984",3,"212,850",73
29,London Boy,임영웅,2022.11.15,록/메탈,"1,872","47,621",2,"128,980",54
30,사랑인가 봐,멜로망스,2022.02.18,"발라드, 국내드라마",256,"181,278",2,"87,995",24
31,Polaroid,임영웅,2022.11.15,록/메탈,974,"42,923",3,"128,980",37
32,이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,"5,993","165,900",0,"128,980",35
33,Dangerously,Charlie Puth,2016.11.11,POP,240,"146,402",2,"172,771",57
34,결국엔 너에게 닿아서,WSG워너비 (가야G),2023.03.17,발라드,190,"12,814",2,"5,455",41
35,무지개,임영웅,2022.05.02,록/메탈,810,"60,871",0,"128,980",46
36,Dynamite,방탄소년단,2020.08.24,댄스,"19,340","449,405",4,"708,495",94
