id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,global_popularity,kr_streams
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,['NewJeans'],0.804,0.771,9,-4.067,0,0.357,3.07E-06,0.108,0.739,126.956,212253,4,92,"33,546"
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,['NewJeans'],0.814,0.641,6,-5.957,0,0.027,0,0.0993,0.183,133.854,185507,4,90,"29,128"
59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,Jimin,['Jimin'],0.585,0.815,0,-4.165,0,0.115,0,0.124,0.564,132.09,200930,4,85,"27,993"
61AZsmFB3VoJdmraMk5ZSn,VIBE (feat. Jimin of BTS),TAEYANG,"['TAEYANG', 'Jimin']",0.78,0.683,0,-5.319,1,0.0801,0,0.22,0.608,100.049,175776,4,83,"23,056"
0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,['NewJeans'],0.593,0.935,4,-3.43,0,0.268,0,0.286,0.783,99.976,179027,4,87,"22,950"
5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,"['Charlie Puth', 'Jung Kook', 'BTS']",0.881,0.592,2,-4.898,1,0.619,1.32E-05,0.0901,0.719,101.058,154487,4,80,"20,460"
3gmn76fCtpDazGMnN0QMHX,NIGHT DANCER,imase,['imase'],0.924,0.563,7,-7.899,0,0.0879,0,0.103,0.872,117.06,210600,4,68,"19,522"
2RUcwyW74Sv4VracHFrKdh,Promise,Jimin,['Jimin'],0.692,0.534,2,-7.155,1,0.83,5.57E-06,0.238,0.739,88.964,151011,4,81,"18,564"
2UrBX2cG7ZSnN2SbgspmtK,Grrr - Spotify Singles,Blase,"['Blase', 'BlackNut', 'Jimmy Paige', 'Dok2', 'SMUGGLERS']",0.802,0.951,7,-2.798,1,0.213,3.11E-06,0.201,0.499,147.02,236867,4,48,"16,017"
5wxYxygyHpbgv0EXZuqb9V,on the street (with J. Cole),j-hope,"['j-hope', 'J. Cole']",0.681,0.821,11,-5.12,0,0.532,0.00111,0.0921,0.813,94.074,214701,4,88,"15,986"
3HCGX2gmPLu6ttkbYvPGTR,すずめ,RADWIMPS,"['RADWIMPS', '十明']",0.565,0.41,2,-6.616,0,0.65,0,0.309,0.36,78.01,238560,4,55,"15,742"
2pIUpMhHL6L9Z5lnKxJJr9,Attention,NewJeans,['NewJeans'],0.811,0.648,10,-3.684,0,0.236,0,0.0761,0.695,104.988,180067,4,84,"15,659"
6auT8cRBu3BgPRBrdVBY15,London Boy,Lim Young Woong,['Lim Young Woong'],0.52,0.875,2,-1.589,1,0.395,0,0.515,0.657,133.096,244427,4,60,"14,941"
2gzhQaCTeNgxpeB2TPllyY,With you,Jimin,"['Jimin', 'HA SUNG WOON']",0.532,0.426,3,-6.117,1,0.639,0,0.134,0.137,149.898,201905,3,78,"14,620"
2tA3NP12r4niSRhb9Y6AoY,Polaroid,Lim Young Woong,['Lim Young Woong'],0.703,0.768,0,-3.357,1,0.532,0,0.117,0.534,102.966,206400,4,59,"14,501"
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,['SZA'],0.644,0.735,8,-5.747,1,0.0521,0.144,0.161,0.418,88.98,153947,4,94,"14,312"
4fsQ0K37TOXa3hEQfjEic1,ANTIFRAGILE,LE SSERAFIM,['LE SSERAFIM'],0.882,0.797,10,-3.299,0,0.0821,0,0.113,0.824,105.025,184444,4,85,"14,271"
1RDvyOk4WtPCtoqciJwVn8,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,"['Jung Kook', 'BTS', 'FIFA Sound']",0.71,0.879,0,-4.218,1,0.158,0.00142,0.439,0.341,114.993,201391,4,86,"13,683"
2RLdkXSaiQjRbey5pvP8Kt,If We Ever Meet Again,Lim Young Woong,['Lim Young Woong'],0.401,0.394,1,-6.655,1,0.748,0,0.0993,0.327,129.74,274387,4,56,"13,294"
5oaQsszgxYAdABuXoWEOUe,Christmas Love,Jimin,['Jimin'],0.608,0.753,7,-5.333,1,0.0948,0,0.0957,0.622,99.978,197931,4,76,"13,263"
4bZZVcgWWMWPBwzTTp642w,Filter,BTS,['BTS'],0.779,0.762,10,-5.188,0,0.0224,0,0.121,0.859,110.043,180221,4,74,"12,962"
7eBpUuPnDTfbeP1P4P93CS,Fighting (Feat. Lee Young Ji),BSS,"['BSS', 'Lee Young Ji']",0.707,0.86,11,-2.935,0,0.103,0,0.0989,0.922,152.026,204467,4,77,"12,893"
3iLBFgaQJ94iarMgzrTuWb,I Don’t Think That I Like Her,Charlie Puth,['Charlie Puth'],0.587,0.548,8,-5.846,0,0.396,0,0.109,0.713,186.073,188508,4,68,"12,648"
4kSDi21MeOoSvpZs6MveI9,Teddy Bear,STAYC,['STAYC'],0.757,0.91,7,-3.953,1,0.105,0,0.387,0.686,119.04,189773,4,73,"12,494"
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,The Weeknd,"['The Weeknd', 'Ariana Grande']",0.575,0.5,1,-7.594,0,0.227,0,0.335,0.506,67.033,232857,4,73,"11,436"
50xSycnGMDy0Wg5jJcOv3S,Rainbow,Lim Young Woong,['Lim Young Woong'],0.641,0.889,8,-3.534,1,0.0394,0,0.181,0.616,96.033,196400,4,54,"11,370"
6RBziRcDeiho3iTPdtEeg9,Event Horizon,Younha,['Younha'],0.534,0.861,11,-3.177,0,0.0758,0,0.167,0.286,97.977,300787,4,66,"11,225"
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,['Harry Styles'],0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303,4,90,"10,731"
2jidjmWNeRmKgLjXhW52Gz,"Our Blues, Our Life",Lim Young Woong,['Lim Young Woong'],0.381,0.405,1,-7.325,1,0.629,0,0.418,0.273,130.94,207387,4,54,"10,702"
3khEEPRyBeOUabbmOPJzAG,KICK BACK,Kenshi Yonezu,['Kenshi Yonezu'],0.577,0.941,1,-5.17,1,0.00207,3.36E-06,0.0891,0.292,101.921,193495,4,83,"10,652"
0N8Xztr4pBHJ7V0moJWhbO,愛を伝えたいだとか,Aimyon,['Aimyon'],0.673,0.85,2,-5.021,1,0.0345,1.14E-05,0.0943,0.793,100.008,235241,4,64,"10,584"
2gYj9lubBorOPIVWsTXugG,After LIKE,IVE,['IVE'],0.68,0.922,0,-1.215,1,0.103,0,0.0877,0.799,125.014,176973,4,81,"10,178"
4Cr43xPo7bwyCcL1g3yVCu,A bientot,Lim Young Woong,['Lim Young Woong'],0.606,0.729,0,-4.555,1,0.268,0,0.271,0.527,73.967,256373,4,53,"10,026"
3o3bRIOKDwGOdqL9HBUNrO,Love Me Like This,NMIXX,['NMIXX'],0.803,0.805,8,-4.167,0,0.00805,0,0.0641,0.652,97.031,188719,4,63,"9,967"
1FBdX6uTlbunrv0bu3tFnF,CHRISTIAN,Zior Park,['Zior Park'],0.876,0.623,11,-6.037,1,0.0241,1.73E-05,0.0715,0.779,131.949,221100,4,54,"9,622"
2DwUdMJ5uxv20EhAildreg,Cookie,NewJeans,['NewJeans'],0.847,0.638,0,-3.764,1,0.0596,0,0.0894,0.661,156.935,235562,4,81,"9,604"
4JK1kDUdH9RTBQrrSO1QfR,ベテルギウス,Yuuri,['Yuuri'],0.367,0.671,5,-4.604,1,0.222,0,0.494,0.691,179.833,230600,4,72,"9,412"
4rMEoXVYww6Xy7q9wSj4gy,Love Always Run Away,Lim Young Woong,['Lim Young Woong'],0.404,0.443,8,-6.799,1,0.651,0,0.12,0.36,131.298,242760,4,54,"9,226"
7x3SGAkfIrzDr9paSslwMv,Lovely Touch,Lim Young Woong,['Lim Young Woong'],0.372,0.551,6,-3.508,1,0.536,0,0.226,0.444,105.104,195173,3,51,"9,061"
2lsRp40mCRkhqULWdMbOzn,I Love You,Lim Young Woong,['Lim Young Woong'],0.635,0.442,7,-5.919,1,0.706,0,0.0929,0.609,110.862,239027,3,52,"8,998"
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,['Miley Cyrus'],0.707,0.681,0,-4.325,1,0.0632,5.15E-06,0.0322,0.646,117.999,200455,4,84,"8,961"
5YSkDxmHvzSDWTu4MaEtfa,Smoke Sprite (feat. RM of BTS),So!YoON!,"['So!YoON!', 'RM']",0.608,0.692,9,-3.182,0,0.151,0,0.173,0.569,131.972,242200,4,80,"8,827"
3TVPGk9hkCLnUP17yOAxAJ,No One Likes Us (Prod. Nochang),Swings,"['Swings', 'Nochang', 'BlackNut', 'DAMINI']",0.617,0.854,10,-3.953,0,0.0401,0,0.162,0.368,78.126,215098,4,0,"8,653"
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,PinkPantheress,"['PinkPantheress', 'Ice Spice']",0.696,0.809,5,-8.254,1,0.252,0.000128,0.248,0.857,132.962,131013,4,96,"8,551"
1E14FuM0BRaHAJSJ9YxMVu,A Psalm of Life,Lim Young Woong,['Lim Young Woong'],0.279,0.515,7,-4.511,1,0.75,0.000114,0.188,0.173,139.694,233360,4,51,"8,438"
04TshWXkhV1qkqHzf31Hn6,Lemon,Kenshi Yonezu,['Kenshi Yonezu'],0.525,0.646,11,-4.963,1,0.304,0,0.297,0.373,86.957,255827,4,70,"8,380"
